topic_id,title,authors,pub_year,journal,topic_score
10,BEnchmarking Large Language Models for Ophthalmology (BELO): An Expert-Curated Data Set and Evaluation Framework for Knowledge and Reasoning.,"Srinivasan S, Ai X, Lo TWS, Gilson A, Zou M, Zou K, Kim H, Yang M, Pushpanathan K, Yew SME, Loke WT, Goh JHL, Chen Y, Kong Y, Fu EY, Ong M, Nwanyanwu K, Dave A, Li KZ, Sun CH, Chia M, Yang GD, Wong WM, Chen DZ, Liu D, Singer M, Antaki F, Del Priore LV, Jonas JB, Adelman R, Chen Q, Tham YC",2026,Ophthalmology science,0.9960897
10,"Essential requirements for the governance and management of data trusts, data repositories, and other data collaborations.","Paprica PA, Crichlow M, Maillet DC, Kesselring S, Pow C, Scarnecchia TP, Schull MJ, Cartagena RG, Cumyn A, Dostmohammad S, Elliston KO, Greiver M, Nelson AH, Hill SL, Isaranuwatchai W, Loukipoudis E, McDonald JT, McLaughlin JR, Rabinowitz A, Razak F, Verhulst SG, Verma AA, Victor JC, Young A, Yu J, McGrail K",2023,International journal of population data science,0.99427587
11,Cocreation of a Digital Tool for Proactive End-of-Life Communication: Protocol for a Participatory Action Research Project.,"Eneslätt M, Dupont C, Savolainen E, Fjällström P, Goliath I",2026,JMIR research protocols,0.99615276
11,Provision of interpreting support for cross-cultural communication in UK maternity services: A Freedom of Information request.,"MacLellan J, McNiven A, Kenyon S",2023,International journal of nursing studies advances,0.9955594
12,The Effects of Digital Health Interventions for Family Members in Intensive Care Units: Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Zhang C, Sui W, Jiang W, Shen Y, Huang Z, Yan R, Yi J, Zhang J, Zhang C, Zhuang Y, Gong X",2026,Journal of medical Internet research,0.9958792
12,Sarcopenia and Nutrition on YouTube: A Content Quality and Reliability Assessment.,"Trost C, Crevenna R, Heisinger J, Popp D, Perl A, Marchard EM, Heisinger S",2026,Nutrients,0.99382955
13,Continuous smartwatch monitoring after atrial fibrillation ablation: feasibility of burden estimation and association with quality of life.,"Almeida JG, Dias D, Silva-Teixeira R, Carrington M, Fonseca P, Oliveira M, Gonçalves H, Primo J, Fontes-Carvalho R, Azevedo L, Barra S, Martínez JP, Almeida R",2025,Frontiers in cardiovascular medicine,0.9936232
13,Smart Lids for deep multi-animal phenotyping in standard home cages.,"Delalić S, Kaca M, Alimsijah P, Weber N, Selmanović E, Galindez M, Marquez G, Balmaceda F, Delalić E, Bekkaye I, Bakija L, Kurtagić-Pašalić M, Agić E, Anderson D, Wagers A, Florea M",2025,Frontiers in behavioral neuroscience,0.9930131
14,"A United States National Assessment of Pediatric Emergency and Inpatient Encounters Before, During, and Following the COVID-19 Pandemic: Mental and Behavioral Health Diagnoses.","Smith DL, Kelly SW, Mermelstein RJ, Karnik NS",2026,JAACAP open,0.99549615
14,"Evaluation of a Short Message Service (SMS)-Based Health Education Program (""Active Moms"") on Antenatal Knowledge and Health Attitudes Among Primigravida Women in South Gujarat: A One-Group Pretest-Posttest Study.","Parmar P, Saiyad SS, Chavda G, Ekambaram G, Rajput JPS",2025,Cureus,0.99517614
15,"A Comprehensive Review of Technological Advances in Meat Safety, Quality, and Sustainability for Public Health.","Samad A, Muazzam A, Alam AMMN, Kim S, Hwang YH, Joo ST",2025,"Foods (Basel, Switzerland)",0.99366504
15,Ensuring Trust in Genomics Research.,"Ayday E, Vaidya J, Jiang X, Telenti A",2023,"... IEEE International Conference on Trust, Privacy and Security in Intelligent Systems and Applications : (TPS-ISA ...). IEEE International Conference on Trust, Privacy and Security in Intelligent Systems and Applications",0.98989034
16,Empathy AI in healthcare.,Muthukumar K,2025,Frontiers in psychology,0.9947501
16,Chatbot in anatomy learning and recapitulation: Prototype and review.,"Waghray NJ, Rajasundaram A, Johnson WMS, Waghray A",2023,"Medical journal, Armed Forces India",0.9947499
17,Using artificial intelligence for exercise prescription in personalised health promotion: A critical evaluation of OpenAI's GPT-4 model.,"Dergaa I, Saad HB, El Omri A, Glenn JM, Clark CCT, Washif JA, Guelmami N, Hammouda O, Al-Horani RA, Reynoso-Sánchez LF, Romdhani M, Paineiras-Domingos LL, Vancini RL, Taheri M, Mataruna-Dos-Santos LJ, Trabelsi K, Chtourou H, Zghibi M, Eken Ö, Swed S, Aissa MB, Shawki HH, El-Seedi HR, Mujika I, Seiler S, Zmijewski P, Pyne DB, Knechtle B, Asif IM, Drezner JA, Sandbakk Ø, Chamari K",2023,Biology of sport,0.995681
17,The Effects of Neuromuscular Training and Additive Visual Biofeedback on Landing Biomechanics and Sensorimotor Brain Activity in Young Female Athletes.,"Slutsky-Ganesh AB, Chaput M, Hogg JA, Zuleger TM, Kim H, Diekfuss JA, Anand M, Schille A, DiCesare C, Warren SM, Riehm CD, Schnittjer AJ, Farraye BT, Pierce S, Roe JW, Bennison J, Barber Foss KD, Simon JE, Riley MA, Myer GD, Grooms DR",2026,Medicine and science in sports and exercise,0.99330854
18,Geographic atrophy in age-related macular degeneration: phenotypic characterisation for clinical trial consideration.,"Borchert GA, Charbel Issa P, Xue K, MacLaren RE, Cehajic-Kapetanovic J, Downes SM, De Silva SR",2026,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,0.9946918
18,Bayesian model averaging for partial ordering continual reassessment methods.,"Kovačević L, Chen W, Barnett H, Jaki T, Mozgunov P",2024,"Biostatistics (Oxford, England)",0.99208134
19,Securing healthcare data: A federated learning framework with hybrid encryption in cluster environments.,"Srivenkateswaran C, Jaya Mabel Rani A, Senthil Kumaran R, Vinston Raja R",2024,Technology and health care : official journal of the European Society for Engineering and Medicine,0.99483645
19,Hyperledger Fabric-Powered Digital Identity Scheme: Transforming CIA-Triad Security in IoMT Integrated Healthcare Eco-System.,"Jena S, Barik RC, Padhan S",2025,Blockchain in healthcare today,0.9934922
