keyword,frequency
computer science,1024
health care,683
medicine,620
political science,526
artificial intelligence,517
law,502
psychology,502
economics,376
economic growth,338
data science,311
knowledge management,262
computer security,260
engineering,239
business,227
pathology,224
world wide web,216
nursing,211
operating system,188
pedagogy,182
biology,181
digital health,170
health literacy,170
machine learning,158
medical education,151
literacy,140
disease,139
mathematics,129
internet privacy,129
public relations,127
sociology,122
philosophy,119
infectious disease (medical specialty),118
coronavirus disease 2019 (covid-19),118
social psychology,110
context (archaeology),102
psychiatry,102
environmental health,100
psychological intervention,98
paleontology,94
public health,94
human–computer interaction,94
big data,92
pandemic,92
transparency (behavior),85
the internet,83
embedded system,81
data mining,78
physics,78
engineering ethics,76
programming language,71
internal medicine,69
population,68
internet of things,68
mental health,66
medline,65
telemedicine,63
epistemology,62
linguistics,61
telecommunications,60
wearable computer,60
risk analysis (engineering),59
cloud computing,58
marketing,57
social science,57
digital literacy,55
database,54
quantum mechanics,50
computer network,49
applied psychology,48
neuroscience,47
mechanical engineering,47
pure mathematics,45
social media,45
ehealth,44
geography,44
process (computing),44
field (mathematics),44
mathematical analysis,43
blockchain,43
archaeology,42
alternative medicine,42
applications of artificial intelligence,42
wearable technology,41
statistics,41
gerontology,40
family medicine,40
deep learning,38
management science,38
electrical engineering,37
finance,36
software deployment,35
quality (philosophy),35
materials science,34
workflow,34
psychotherapist,33
systematic review,32
interpretability,31
power (physics),31
trustworthiness,31
perception,31
decision support system,29
clinical psychology,29
software engineering,29
key (lock),29
perspective (graphical),28
bioinformatics,28
chatbot,27
wireless,27
health informatics,27
generative grammar,27
robot,26
severe acute respiratory syndrome coronavirus 2 (sars-cov-2),26
government (linguistics),26
nanotechnology,26
information and communications technology,25
transformative learning,25
process management,25
set (abstract data type),25
chemistry,24
reliability (semiconductor),24
2019-20 coronavirus outbreak,24
outbreak,24
intensive care medicine,24
domain (mathematical analysis),24
curriculum,24
scopus,24
virology,24
work (physics),23
healthcare system,23
health equity,23
communication,23
information privacy,23
developmental psychology,23
mhealth,23
cross-sectional study,22
clinical decision support system,21
variety (cybernetics),21
botany,21
equity (law),21
accountability,21
cognitive psychology,20
virtual reality,20
digital divide,20
art,20
telehealth,20
distributed computing,20
precision medicine,20
autonomy,19
artificial neural network,19
information literacy,19
identification (biology),18
health professionals,18
leverage (statistics),18
genetics,18
qualitative research,18
systems engineering,18
ecology,18
algorithm,18
data sharing,17
multimedia,17
biochemistry,17
analytics,17
metaverse,17
library science,17
scale (ratio),17
intervention (counseling),17
history,16
corporate governance,16
demography,16
structural equation modeling,16
composite material,16
mathematics education,16
health communication,16
scalability,16
cinahl,15
black box,15
medical emergency,15
gene,15
service (business),15
digital transformation,15
authentication (law),14
optics,14
health education,14
confidentiality,14
radiology,14
anxiety,14
encryption,14
cognition,14
politics,14
macroeconomics,14
edge computing,14
inclusion (mineral),14
value (mathematics),14
visual arts,13
usability,13
emerging technologies,13
misinformation,13
management,13
health promotion,12
popularity,12
personalized medicine,12
thematic analysis,12
workforce,12
test (biology),12
electronics,12
health policy,12
relevance (law),12
social distance,12
patient safety,11
clinical trial,11
geometry,11
physical therapy,11
medical diagnosis,11
decision tree,11
automation,11
