kw_a,kw_b,weight
infectious disease (medical specialty),pathology,108
engineering,political science,108
law,pathology,107
coronavirus disease 2019 (covid-19),pathology,107
law,public relations,106
engineering,health care,103
engineering,law,101
computer science,philosophy,101
medical education,political science,101
pathology,psychology,100
environmental health,medicine,100
literacy,political science,99
digital health,psychology,99
computer science,public relations,99
law,medical education,98
law,literacy,97
business,knowledge management,96
biology,medicine,96
medicine,world wide web,96
data science,political science,95
computer science,medical education,94
computer science,human–computer interaction,94
biology,health care,94
business,medicine,93
biology,paleontology,93
medicine,public health,93
data science,law,92
economics,knowledge management,92
disease,pandemic,92
coronavirus disease 2019 (covid-19),pandemic,92
big data,computer science,92
medicine,pandemic,92
nursing,public health,92
psychiatry,psychology,91
computer science,social psychology,91
infectious disease (medical specialty),pandemic,91
computer science,sociology,90
medical education,pedagogy,90
health care,public relations,89
health care,operating system,88
political science,world wide web,88
engineering,psychology,87
digital health,health literacy,87
medicine,psychological intervention,87
psychology,world wide web,86
health care,internet privacy,85
computer science,health literacy,85
computer science,disease,84
computer science,context (archaeology),84
pandemic,pathology,84
computer security,data science,84
engineering,medicine,83
health literacy,medical education,83
computer science,the internet,83
medicine,public relations,83
the internet,world wide web,82
law,world wide web,82
economics,political science,82
biology,context (archaeology),81
engineering,knowledge management,81
context (archaeology),paleontology,81
business,economics,81
computer science,embedded system,81
economic growth,knowledge management,81
computer science,transparency (behavior),81
computer security,economics,79
data science,knowledge management,79
computer science,data mining,78
computer security,political science,78
computer security,transparency (behavior),78
political science,sociology,77
computer science,paleontology,77
digital health,nursing,77
disease,political science,77
health literacy,nursing,77
medicine,psychiatry,77
computer security,operating system,77
engineering,engineering ethics,76
health care,sociology,76
economics,law,76
environmental health,health care,75
computer security,law,75
psychological intervention,psychology,74
computer security,economic growth,74
economics,nursing,73
psychology,sociology,73
infectious disease (medical specialty),political science,72
digital health,pedagogy,72
artificial intelligence,mathematics,72
economic growth,nursing,72
coronavirus disease 2019 (covid-19),political science,72
artificial intelligence,biology,71
disease,law,71
literacy,medical education,71
biology,political science,71
computer science,programming language,71
health care,mathematics,71
health care,public health,70
computer science,literacy,70
internet privacy,political science,70
law,sociology,70
internal medicine,medicine,69
computer science,infectious disease (medical specialty),69
economics,world wide web,69
economics,operating system,69
psychology,public relations,69
artificial intelligence,pathology,69
health care,psychological intervention,69
economic growth,political science,68
biology,law,68
computer security,medicine,68
computer science,coronavirus disease 2019 (covid-19),68
medicine,sociology,68
business,economic growth,68
disease,health care,68
computer science,internet of things,68
economics,pathology,67
artificial intelligence,business,67
artificial intelligence,world wide web,67
economic growth,world wide web,67
computer science,psychological intervention,67
infectious disease (medical specialty),law,66
context (archaeology),health care,66
political science,public health,66
digital health,literacy,66
health care,philosophy,66
coronavirus disease 2019 (covid-19),law,66
political science,social psychology,66
disease,psychology,65
big data,data science,65
nursing,psychological intervention,65
medicine,population,65
data science,operating system,65
computer science,psychiatry,64
computer science,engineering ethics,64
economic growth,law,63
nursing,pedagogy,63
biology,data science,63
environmental health,population,63
data science,psychology,63
mental health,psychology,63
business,psychology,63
digital health,economics,62
internet privacy,medicine,62
health care,social psychology,62
economic growth,pathology,62
internet privacy,law,62
epistemology,philosophy,62
law,medline,62
computer science,physics,62
economic growth,operating system,62
medline,political science,62
law,public health,62
health care,telemedicine,62
engineering ethics,political science,61
linguistics,philosophy,61
digital health,economic growth,61
health care,paleontology,61
big data,data mining,61
law,social psychology,61
computer science,wearable computer,60
business,computer security,60
infectious disease (medical specialty),psychology,60
machine learning,medicine,60
coronavirus disease 2019 (covid-19),psychology,60
computer science,telecommunications,60
nursing,pathology,59
health care,machine learning,59
computer science,risk analysis (engineering),59
embedded system,wearable computer,59
biology,economics,59
biology,psychology,58
artificial intelligence,big data,58
data science,machine learning,58
health care,infectious disease (medical specialty),58
cloud computing,computer science,58
medical education,nursing,58
cloud computing,operating system,58
coronavirus disease 2019 (covid-19),health care,58
medicine,philosophy,58
political science,psychological intervention,57
social science,sociology,57
medicine,operating system,57
engineering ethics,law,57
environmental health,psychology,57
context (archaeology),medicine,57
medicine,social psychology,57
business,marketing,57
philosophy,psychology,57
economic growth,health literacy,56
health care,psychiatry,56
computer science,environmental health,56
pandemic,political science,56
economics,health literacy,56
context (archaeology),political science,56
philosophy,political science,56
data mining,data science,56
environmental health,political science,56
law,psychological intervention,56
computer security,knowledge management,56
business,public relations,55
artificial intelligence,transparency (behavior),55
environmental health,law,55
computer science,public health,55
digital health,medical education,55
computer science,epistemology,55
artificial intelligence,philosophy,55
psychology,public health,54
big data,health care,54
economics,mathematics,54
data science,engineering,54
literacy,nursing,54
computer science,database,54
artificial intelligence,data mining,54
computer security,world wide web,53
context (archaeology),law,53
biology,economic growth,53
digital health,world wide web,53
law,pandemic,53
mental health,psychiatry,53
data science,pathology,53
data science,world wide web,53
computer security,internet privacy,52
computer science,marketing,52
computer science,pandemic,52
knowledge management,public relations,52
economics,machine learning,51
economic growth,mathematics,51
medicine,paleontology,51
data science,mathematics,51
mathematics,medicine,51
health care,transparency (behavior),51
artificial intelligence,human–computer interaction,51
medicine,telemedicine,50
medicine,medline,50
law,philosophy,50
physics,quantum mechanics,50
digital literacy,pedagogy,50
computer science,linguistics,50
computer science,telemedicine,50
biology,knowledge management,49
operating system,political science,49
knowledge management,operating system,49
computer network,computer science,49
engineering,operating system,49
digital health,knowledge management,49
engineering ethics,health care,49
engineering ethics,psychology,48
environmental health,health literacy,48
context (archaeology),psychology,48
economic growth,machine learning,48
digital literacy,health care,48
pandemic,psychology,48
applied psychology,psychology,48
political science,transparency (behavior),48
health care,the internet,48
business,engineering,48
internet privacy,world wide web,48
computer security,internet of things,47
economics,engineering,47
engineering,mechanical engineering,47
health care,population,47
paleontology,psychology,47
health care,pandemic,47
business,pathology,47
health care,medline,46
digital literacy,psychology,46
law,transparency (behavior),46
business,internet privacy,46
computer security,engineering,46
business,digital health,46
law,operating system,46
business,world wide web,46
internet privacy,psychology,46
digital health,public relations,46
artificial intelligence,nursing,46
paleontology,political science,45
big data,operating system,45
mathematics,pure mathematics,45
health care,human–computer interaction,45
pedagogy,world wide web,45
biology,pathology,45
field (mathematics),mathematics,44
computer science,social science,44
health care,programming language,44
field (mathematics),pure mathematics,44
digital health,psychological intervention,44
ehealth,health care,44
computer science,process (computing),44
health literacy,world wide web,44
artificial intelligence,programming language,44
population,psychology,43
computer science,field (mathematics),43
computer science,pure mathematics,43
neuroscience,psychology,43
psychiatry,psychological intervention,43
law,paleontology,43
digital literacy,literacy,43
environmental health,nursing,43
blockchain,computer science,43
blockchain,computer security,43
mathematical analysis,mathematics,43
operating system,process (computing),43
applications of artificial intelligence,artificial intelligence,42
computer science,neuroscience,42
computer science,medline,42
applications of artificial intelligence,computer science,42
digital literacy,political science,42
economics,psychiatry,42
economics,philosophy,42
mathematics,political science,42
knowledge management,world wide web,42
alternative medicine,medicine,42
alternative medicine,pathology,42
mathematics,psychology,42
medicine,mental health,42
computer security,psychology,42
computer science,population,42
computer science,wearable technology,41
economics,pedagogy,41
context (archaeology),knowledge management,41
economic growth,pedagogy,41
big data,economics,41
data mining,health care,41
mathematics,statistics,41
computer science,mechanical engineering,41
health care,social science,41
business,data science,41
digital literacy,health literacy,41
computer science,mathematical analysis,41
health literacy,public health,41
wearable computer,wearable technology,41
health literacy,pathology,41
family medicine,medicine,40
digital literacy,medicine,40
physics,psychology,40
knowledge management,nursing,40
economics,human–computer interaction,40
nursing,world wide web,40
gerontology,medicine,40
ehealth,medicine,40
health care,physics,40
embedded system,wearable technology,40
artificial intelligence,embedded system,40
digital literacy,law,40
economics,medical education,40
literacy,world wide web,40
applied psychology,computer science,40
epistemology,health care,40
machine learning,psychology,40
computer science,quantum mechanics,39
economics,literacy,39
economics,environmental health,39
digital health,pathology,39
economic growth,literacy,39
pathology,world wide web,39
digital health,digital literacy,39
economic growth,environmental health,39
computer science,mental health,39
economic growth,medical education,39
digital health,public health,39
law,mathematics,39
computer science,digital literacy,39
political science,psychiatry,38
health care,mental health,38
artificial intelligence,deep learning,38
political science,telemedicine,38
computer science,deep learning,38
knowledge management,paleontology,38
economics,internet privacy,38
knowledge management,pedagogy,38
artificial intelligence,physics,38
big data,economic growth,38
economic growth,psychiatry,38
economic growth,internet privacy,38
medicine,the internet,37
artificial intelligence,social psychology,37
artificial intelligence,psychiatry,37
public relations,sociology,37
electrical engineering,engineering,37
operating system,world wide web,37
internet privacy,public relations,37
nursing,public relations,37
knowledge management,philosophy,37
political science,population,37
pathology,public health,37
ehealth,health literacy,37
law,psychiatry,37
artificial intelligence,risk analysis (engineering),36
artificial intelligence,sociology,36
engineering ethics,knowledge management,36
economic growth,philosophy,36
pathology,pedagogy,36
economic growth,human–computer interaction,36
alternative medicine,computer science,36
medicine,risk analysis (engineering),36
gerontology,health care,36
law,telemedicine,36
law,population,36
psychology,social science,36
artificial intelligence,process (computing),36
big data,medicine,36
artificial intelligence,pedagogy,35
internet privacy,pathology,35
cloud computing,computer security,35
computer science,software deployment,35
health literacy,psychological intervention,35
medicine,physics,35
disease,nursing,35
context (archaeology),data science,35
environmental health,literacy,35
computer science,management science,35
economic growth,engineering,35
data science,human–computer interaction,35
computer science,electrical engineering,35
pathology,psychiatry,35
digital health,telemedicine,35
business,finance,34
data mining,economics,34
artificial intelligence,engineering ethics,34
business,infectious disease (medical specialty),34
computer science,ehealth,34
computer science,social media,34
business,coronavirus disease 2019 (covid-19),34
business,disease,34
medical education,pathology,34
epistemology,psychology,34
computer science,workflow,34
economics,telemedicine,34
linguistics,medicine,34
business,operating system,34
business,nursing,34
knowledge management,social psychology,34
artificial intelligence,field (mathematics),34
ehealth,psychology,34
disease,economics,34
economic growth,telemedicine,34
artificial intelligence,pure mathematics,34
computer science,quality (philosophy),33
environmental health,pedagogy,33
artificial intelligence,medical education,33
medicine,social media,33
pedagogy,sociology,33
big data,computer security,33
economics,sociology,33
biology,engineering,33
political science,social media,33
computer science,internal medicine,33
pathology,public relations,33
psychology,psychotherapist,33
biology,computer security,33
digital health,environmental health,33
medline,psychology,33
economics,psychological intervention,33
epistemology,quality (philosophy),33
database,workflow,33
database,health care,33
artificial intelligence,epistemology,33
philosophy,quality (philosophy),33
engineering,management science,33
business,risk analysis (engineering),33
gerontology,health literacy,33
linguistics,political science,32
computer science,finance,32
biology,business,32
health care,internal medicine,32
health care,marketing,32
knowledge management,sociology,32
literacy,pathology,32
applied psychology,health care,32
artificial intelligence,disease,32
political science,social science,32
coronavirus disease 2019 (covid-19),nursing,32
economics,paleontology,32
medicine,social science,32
medline,systematic review,32
computer security,mathematics,32
environmental health,pathology,32
engineering ethics,medicine,32
infectious disease (medical specialty),nursing,32
economic growth,psychological intervention,32
social media,world wide web,32
biology,operating system,32
law,systematic review,31
artificial intelligence,interpretability,31
applied psychology,medicine,31
nursing,pandemic,31
business,philosophy,31
medicine,programming language,31
mental health,political science,31
disease,economic growth,31
gerontology,psychology,31
knowledge management,marketing,31
computer science,interpretability,31
operating system,psychology,31
health care,quantum mechanics,31
computer security,pathology,31
political science,systematic review,31
public relations,world wide web,30
data science,transparency (behavior),30
computer science,statistics,30
power (physics),quantum mechanics,30
physics,power (physics),30
medical education,world wide web,30
archaeology,computer science,30
computer science,trustworthiness,30
neuroscience,perception,30
machine learning,political science,30
computer security,machine learning,30
data mining,economic growth,30
law,linguistics,30
data science,risk analysis (engineering),30
geography,medicine,30
artificial intelligence,paleontology,30
law,social science,30
digital health,ehealth,30
economic growth,paleontology,30
artificial intelligence,context (archaeology),30
ehealth,pedagogy,30
knowledge management,medical education,30
economics,social psychology,30
data science,digital health,30
family medicine,health care,30
artificial intelligence,database,30
pathology,psychological intervention,30
pathology,philosophy,30
political science,the internet,29
economic growth,sociology,29
embedded system,engineering,29
psychology,transparency (behavior),29
archaeology,health care,29
archaeology,geography,29
computer science,geography,29
law,social media,29
geography,health care,29
archaeology,medicine,29
embedded system,health care,29
artificial intelligence,telecommunications,29
computer science,decision support system,29
ehealth,political science,29
computer science,key (lock),29
law,mental health,29
ehealth,law,29
health care,internet of things,29
clinical psychology,psychology,29
pedagogy,public relations,29
engineering,public relations,29
engineering,mathematics,29
human–computer interaction,psychology,29
computer science,perception,29
applications of artificial intelligence,health care,29
data mining,machine learning,29
environmental health,public health,29
digital literacy,medical education,29
economics,epistemology,29
context (archaeology),economics,29
digital health,internet privacy,29
disease,world wide web,29
computer science,software engineering,29
knowledge management,transparency (behavior),28
artificial intelligence,perspective (graphical),28
ehealth,literacy,28
psychology,the internet,28
bioinformatics,biology,28
data science,paleontology,28
business,pandemic,28
data science,the internet,28
coronavirus disease 2019 (covid-19),world wide web,28
pathology,sociology,28
machine learning,operating system,28
pedagogy,public health,28
artificial intelligence,the internet,28
law,the internet,28
physics,political science,28
infectious disease (medical specialty),world wide web,28
disease,health literacy,28
law,machine learning,28
computer science,perspective (graphical),28
economics,public health,28
health care,linguistics,28
data science,philosophy,28
artificial intelligence,decision support system,28
internal medicine,law,27
data science,field (mathematics),27
data science,pure mathematics,27
computer science,generative grammar,27
computer science,materials science,27
biology,world wide web,27
economics,infectious disease (medical specialty),27
public health,public relations,27
artificial intelligence,management science,27
database,medicine,27
biology,machine learning,27
internal medicine,political science,27
health literacy,population,27
economics,programming language,27
psychology,quantum mechanics,27
artificial intelligence,internet of things,27
economic growth,public health,27
medicine,transparency (behavior),27
sociology,world wide web,27
computer science,wireless,27
chatbot,computer science,27
deep learning,machine learning,27
literacy,public health,27
health care,statistics,27
health literacy,public relations,27
context (archaeology),economic growth,27
health care,risk analysis (engineering),27
perception,psychology,27
engineering,sociology,27
internal medicine,psychology,27
data science,nursing,27
embedded system,operating system,27
geography,psychology,27
computer network,computer security,27
telemedicine,world wide web,27
geography,political science,27
political science,programming language,27
biology,disease,27
law,programming language,27
coronavirus disease 2019 (covid-19),economics,27
economics,the internet,27
data mining,medicine,27
computer security,key (lock),27
artificial intelligence,generative grammar,27
computer security,the internet,27
coronavirus disease 2019 (covid-19),public relations,26
coronavirus disease 2019 (covid-19),severe acute respiratory syndrome coronavirus 2 (sars-cov-2),26
nursing,telemedicine,26
economics,mental health,26
disease,public relations,26
artificial intelligence,robot,26
infectious disease (medical specialty),public relations,26
knowledge management,mathematics,26
telecommunications,wireless,26
big data,political science,26
computer science,robot,26
disease,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),26
disease,public health,26
computer security,telecommunications,26
operating system,the internet,26
disease,internal medicine,26
artificial intelligence,wearable computer,26
materials science,nanotechnology,26
artificial intelligence,mathematical analysis,26
epistemology,medicine,26
economic growth,the internet,26
ehealth,nursing,26
artificial intelligence,psychological intervention,26
operating system,software deployment,26
economics,marketing,26
engineering,pathology,26
economics,population,26
economic growth,population,26
big data,law,26
medicine,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),26
internet of things,operating system,26
operating system,pathology,25
economic growth,epistemology,25
pedagogy,psychological intervention,25
linguistics,psychology,25
disease,environmental health,25
artificial intelligence,linguistics,25
coronavirus disease 2019 (covid-19),social media,25
infectious disease (medical specialty),social media,25
computer science,set (abstract data type),25
disease,social media,25
economics,embedded system,25
health literacy,infectious disease (medical specialty),25
psychology,social media,25
artificial intelligence,public relations,25
geography,law,25
pathology,social media,25
medical education,public relations,25
archaeology,psychology,25
economic growth,mental health,25
health care,wearable computer,25
data science,internet privacy,25
epistemology,political science,25
nursing,population,25
family medicine,psychology,25
computer science,process management,25
health literacy,sociology,25
archaeology,political science,25
artificial intelligence,quantum mechanics,25
coronavirus disease 2019 (covid-19),health literacy,25
economic growth,programming language,25
business,sociology,25
philosophy,world wide web,25
programming language,set (abstract data type),25
internet privacy,nursing,25
data science,disease,25
big data,knowledge management,25
infectious disease (medical specialty),severe acute respiratory syndrome coronavirus 2 (sars-cov-2),25
data science,database,25
engineering,philosophy,25
coronavirus disease 2019 (covid-19),public health,25
clinical psychology,medicine,25
economics,internet of things,25
computer science,power (physics),25
medicine,quantum mechanics,25
2019-20 coronavirus outbreak,coronavirus disease 2019 (covid-19),24
biology,nursing,24
2019-20 coronavirus outbreak,medicine,24
business,transparency (behavior),24
artificial intelligence,cloud computing,24
health care,health informatics,24
digital literacy,world wide web,24
intensive care medicine,medicine,24
context (archaeology),nursing,24
infectious disease (medical specialty),public health,24
infectious disease (medical specialty),virology,24
disease,outbreak,24
medline,psychological intervention,24
computer science,domain (mathematical analysis),24
2019-20 coronavirus outbreak,disease,24
health care,workflow,24
coronavirus disease 2019 (covid-19),virology,24
coronavirus disease 2019 (covid-19),outbreak,24
artificial intelligence,internet privacy,24
physics,reliability (semiconductor),24
health care,mathematical analysis,24
pandemic,public health,24
power (physics),reliability (semiconductor),24
finance,political science,24
applications of artificial intelligence,data science,24
business,telemedicine,24
disease,virology,24
literacy,psychological intervention,24
digital health,disease,24
pedagogy,transformative learning,24
economic growth,infectious disease (medical specialty),24
nursing,sociology,24
coronavirus disease 2019 (covid-19),economic growth,24
knowledge management,programming language,24
economic growth,social psychology,24
medline,scopus,24
literacy,sociology,24
economic growth,internet of things,24
quantum mechanics,reliability (semiconductor),24
law,physics,24
marketing,medicine,24
disease,internet privacy,24
government (linguistics),linguistics,24
epistemology,knowledge management,24
data science,programming language,24
economics,social science,24
computer science,psychotherapist,24
medicine,virology,24
government (linguistics),philosophy,24
economic growth,embedded system,24
medicine,outbreak,24
artificial intelligence,neuroscience,24
infectious disease (medical specialty),outbreak,24
machine learning,mathematics,24
medicine,statistics,24
disease,psychiatry,23
philosophy,public relations,23
developmental psychology,psychology,23
mechanical engineering,work (physics),23
computer security,embedded system,23
artificial intelligence,workflow,23
2019-20 coronavirus outbreak,infectious disease (medical specialty),23
health care,healthcare system,23
gerontology,political science,23
gerontology,law,23
health care,mechanical engineering,23
biology,sociology,23
data science,psychological intervention,23
curriculum,pedagogy,23
health care,neuroscience,23
alternative medicine,health care,23
engineering,work (physics),23
disease,sociology,23
computer science,information privacy,23
neuroscience,political science,23
computer science,information and communications technology,23
cloud computing,health care,23
machine learning,pathology,23
pathology,population,23
health equity,political science,23
coronavirus disease 2019 (covid-19),environmental health,23
internet privacy,knowledge management,23
database,economics,23
domain (mathematical analysis),mathematical analysis,23
domain (mathematical analysis),mathematics,23
2019-20 coronavirus outbreak,outbreak,23
gerontology,literacy,23
archaeology,law,23
law,neuroscience,23
public relations,social media,23
health equity,law,23
outbreak,virology,23
big data,pathology,23
knowledge management,pathology,23
pandemic,public relations,22
computer science,healthcare system,22
database,economic growth,22
biology,digital health,22
economics,physics,22
medical education,psychological intervention,22
biology,philosophy,22
medicine,systematic review,22
computer science,health informatics,22
curriculum,psychology,22
economic growth,mathematical analysis,22
economic growth,marketing,22
machine learning,world wide web,22
artificial intelligence,software deployment,22
coronavirus disease 2019 (covid-19),internet privacy,22
public health,world wide web,22
economics,mathematical analysis,22
artificial intelligence,digital health,22
biology,mathematics,22
digital health,psychiatry,22
human–computer interaction,knowledge management,22
health informatics,medicine,22
information and communications technology,world wide web,22
mathematics,pathology,22
artificial intelligence,internal medicine,22
engineering,social psychology,22
applications of artificial intelligence,medicine,22
pandemic,social media,22
economic growth,social science,22
law,scopus,22
infectious disease (medical specialty),internet privacy,22
health care,systematic review,22
business,process management,22
disease,pedagogy,22
cross-sectional study,medicine,22
environmental health,infectious disease (medical specialty),22
economics,medline,22
infectious disease (medical specialty),sociology,22
mathematics,world wide web,22
context (archaeology),pathology,22
artificial intelligence,infectious disease (medical specialty),22
cross-sectional study,pathology,22
pandemic,world wide web,22
knowledge management,social science,22
business,social psychology,22
engineering,transparency (behavior),22
political science,scopus,22
finance,law,22
communication,psychology,22
literacy,public relations,22
data science,process (computing),22
computer science,work (physics),22
medicine,workflow,22
medical education,public health,22
family medicine,nursing,22
2019-20 coronavirus outbreak,virology,22
2019-20 coronavirus outbreak,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),22
epistemology,law,21
literacy,population,21
data science,embedded system,21
family medicine,law,21
pedagogy,population,21
computer security,risk analysis (engineering),21
knowledge management,risk analysis (engineering),21
data science,medline,21
computer security,human–computer interaction,21
social psychology,world wide web,21
computer science,nanotechnology,21
economics,internal medicine,21
health care,quality (philosophy),21
accountability,law,21
accountability,political science,21
engineering,nursing,21
health care,wearable technology,21
paleontology,pathology,21
engineering,materials science,21
applied psychology,social psychology,21
context (archaeology),geography,21
biology,botany,21
economics,statistics,21
cloud computing,economics,21
economic growth,medline,21
pathology,social psychology,21
severe acute respiratory syndrome coronavirus 2 (sars-cov-2),virology,21
computer science,mhealth,21
infectious disease (medical specialty),medical education,21
infectious disease (medical specialty),psychiatry,21
artificial intelligence,mechanical engineering,21
artificial intelligence,variety (cybernetics),21
computer science,variety (cybernetics),21
family medicine,health literacy,21
knowledge management,process management,21
archaeology,context (archaeology),21
data science,psychiatry,21
outbreak,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),21
nursing,psychiatry,21
nursing,social psychology,21
health care,health equity,21
health care,social media,21
marketing,political science,21
business,environmental health,21
economics,gerontology,21
embedded system,internet of things,21
economics,pandemic,21
artificial intelligence,coronavirus disease 2019 (covid-19),21
economic growth,gerontology,21
computer security,philosophy,21
health care,process (computing),21
environmental health,world wide web,21
medline,nursing,21
economics,risk analysis (engineering),21
computer science,systematic review,21
computer security,data mining,21
data science,mathematical analysis,21
big data,biology,21
political science,quantum mechanics,21
psychological intervention,world wide web,21
clinical decision support system,computer science,21
clinical decision support system,decision support system,21
coronavirus disease 2019 (covid-19),sociology,21
disease,medical education,21
coronavirus disease 2019 (covid-19),medical education,21
mental health,psychological intervention,21
coronavirus disease 2019 (covid-19),psychiatry,21
family medicine,political science,21
economic growth,internal medicine,20
cognitive psychology,psychology,20
linguistics,pathology,20
computer science,reliability (semiconductor),20
computer science,government (linguistics),20
data science,deep learning,20
curriculum,medicine,20
data mining,law,20
data mining,political science,20
mechanical engineering,medicine,20
environmental health,medical education,20
gerontology,pedagogy,20
biology,medical education,20
health care,mhealth,20
health care,software deployment,20
applications of artificial intelligence,law,20
biology,public relations,20
context (archaeology),world wide web,20
pathology,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),20
digital health,population,20
big data,mathematics,20
infectious disease (medical specialty),pedagogy,20
applied psychology,political science,20
artificial intelligence,domain (mathematical analysis),20
context (archaeology),digital health,20
engineering,wearable computer,20
botany,computer science,20
applications of artificial intelligence,political science,20
law,marketing,20
computer science,scopus,20
engineering,programming language,20
equity (law),political science,20
telehealth,telemedicine,20
cloud computing,economic growth,20
equity (law),law,20
equity (law),health care,20
health care,telehealth,20
cloud computing,world wide web,20
economics,public relations,20
computer science,transformative learning,20
health literacy,pandemic,20
computer security,information privacy,20
programming language,psychology,20
gerontology,nursing,20
medicine,precision medicine,20
computer security,trustworthiness,20
law,risk analysis (engineering),20
economic growth,physics,20
political science,risk analysis (engineering),20
marketing,psychology,20
bioinformatics,medicine,20
medicine,neuroscience,20
cross-sectional study,health care,20
psychology,transformative learning,20
psychology,statistics,20
artificial intelligence,clinical decision support system,20
computer science,distributed computing,20
computer science,virtual reality,20
business,mathematics,20
internet privacy,pandemic,20
health literacy,the internet,20
pathology,precision medicine,20
mathematics,sociology,20
health literacy,medline,20
bioinformatics,computer science,20
human–computer interaction,world wide web,20
mechanical engineering,political science,20
health equity,medicine,20
health informatics,nursing,19
medicine,mhealth,19
nursing,paleontology,19
outbreak,pathology,19
context (archaeology),public relations,19
information literacy,pedagogy,19
curriculum,health care,19
mental health,psychotherapist,19
autonomy,law,19
autonomy,political science,19
engineering,nanotechnology,19
accountability,computer science,19
engineering,physics,19
geography,health literacy,19
chatbot,world wide web,19
health care,pure mathematics,19
engineering,risk analysis (engineering),19
pathology,virology,19
context (archaeology),medical education,19
digital health,sociology,19
health care,psychotherapist,19
biology,health literacy,19
applied psychology,law,19
knowledge management,machine learning,19
coronavirus disease 2019 (covid-19),pedagogy,19
internal medicine,pathology,19
alternative medicine,political science,19
health care,transformative learning,19
infectious disease (medical specialty),internal medicine,19
human–computer interaction,virtual reality,19
environmental health,pandemic,19
coronavirus disease 2019 (covid-19),digital health,19
medical education,sociology,19
internet privacy,operating system,19
big data,business,19
coronavirus disease 2019 (covid-19),internal medicine,19
health literacy,psychiatry,19
economics,ehealth,19
finance,health care,19
digital health,infectious disease (medical specialty),19
engineering ethics,public relations,19
engineering,pedagogy,19
economics,telecommunications,19
engineering ethics,sociology,19
management science,political science,19
economics,wearable computer,19
operating system,risk analysis (engineering),19
economic growth,ehealth,19
artificial neural network,machine learning,19
engineering,machine learning,19
population,world wide web,19
human–computer interaction,political science,19
data science,workflow,19
biology,social psychology,19
artificial intelligence,artificial neural network,19
artificial neural network,computer science,19
computer science,digital divide,19
health care,telecommunications,19
economic growth,statistics,19
information privacy,internet privacy,19
biology,infectious disease (medical specialty),19
context (archaeology),health literacy,19
business,public health,19
digital health,mhealth,19
economic growth,wearable computer,19
disease,philosophy,19
computer security,software deployment,18
health care,perception,18
economic growth,family medicine,18
artificial intelligence,medline,18
law,psychotherapist,18
health informatics,public health,18
data science,management science,18
field (mathematics),health care,18
biology,coronavirus disease 2019 (covid-19),18
pandemic,severe acute respiratory syndrome coronavirus 2 (sars-cov-2),18
communication,computer science,18
engineering,systems engineering,18
economic growth,pandemic,18
mathematics,philosophy,18
qualitative research,social science,18
qualitative research,sociology,18
nursing,philosophy,18
law,quantum mechanics,18
health care,power (physics),18
blockchain,health care,18
applied psychology,health literacy,18
